text,true_label,pred_label
The result before taxes was a loss of 25.0 million euros .,neutral,negative
"The staff reduction will start immediately , Glaston added .",negative,neutral
"The total headcount reduction will be 50 persons , the company said .",negative,neutral
"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW .",neutral,positive
"This rating from A.M. Best is the highest among the CIS countries , Central and Eastern Europe .",neutral,positive
"UPM is the biggest producer of magazine paper in Europe , with a market share of over 30 pct , and it is likely to say that prices in the segment were at best flat during the quarter , analysts said .",neutral,positive
"Vacon aims to establish its presence in the solar energy business in various parts of the world towards the end of 2010 , said Olli Teva , marketing director renewable energy applications .",neutral,positive
"We look forward to take part in the future development of the company , '' says Tomas Billing , President of Nordstjernan .",neutral,positive
"With the government exempting certain stainless steel products from anti-dumping duties , Finland-based Outokumpu today said it will look to enter into supply pacts with the Indian Railways soon .",neutral,positive
The personnel reductions will primarily affect those working for the parent company in the diagnostics business or in production and logistics in the liquid handling business .,negative,neutral
"In the Asia-Pacific region , Visa Wave is available in Malaysia , Taiwan and South Korea and will be expanded to Japan and Southeast Asia this year , Jung added .",positive,neutral
"In the third quarter of fiscal 2008 Efore swung to a net loss of EUR 400,000 versus a net profit of EUR 200,000 for the corresponding period of fiscal 2007 .",negative,positive
"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",negative,positive
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,negative,positive
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses .",negative,positive
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,negative,positive
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative,neutral
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",negative,positive
- The Group - s result before taxes was EUR -1.9 ( -3.0 ) million .,negative,neutral
"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9 2008 ) and result before taxes was a loss of EUR -3.5 ( 1.2 ) million .",negative,neutral
Finnish media group Talentum has issued a profit warning .,negative,neutral
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008 .",negative,positive
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",negative,neutral
"According shipping company Viking Line , the EU decision will have a significant financial impact .",neutral,positive
